Subnet,Network ID,Netmask,Broadcast,Range IP,Prefix,,,,,,,
A7,10.0.6.0,255.255.255.192,10.0.6.63,10.0.6.1 – 10.0.6.62,/26,,,,,,,
A8,10.0.6.64,255.255.255.240,10.0.6.79,10.0.6.65 – 10.0.6.78,/28,,,,,,,
A9,10.0.6.128,255.255.255.224,10.0.6.159,10.0.6.129 – 10.0.6.158,/27,,,,,,,
A10,10.0.8.0,255.255.255.192,10.0.8.63,10.0.8.1 – 10.0.8.62,/26,,,,,,,
A11,10.0.8.64,255.255.255.224,10.0.8.95,10.0.8.65 – 10.0.8.94,/27,,,,,,,
A12,10.0.8.128,255.255.255.224,10.0.8.159,10.0.8.129 – 10.0.8.158,/27,,,,,,,
A13,10.0.14.0,255.255.255.128,10.0.14.127,10.0.14.1 – 10.0.14.126,/25,,,,,,,
A14,10.0.14.128,255.255.255.224,10.0.14.159,10.0.14.129 – 10.0.14.158,/27,,,,,,,
A15,10.0.22.0,255.255.255.192,10.0.22.63,10.0.22.1 – 10.0.22.62,/26,,,,,,,
A16,10.0.22.64,255.255.255.224,10.0.22.95,10.0.22.65 – 10.0.22.94,/27,,,,,,,
A17,10.0.22.128,255.255.255.192,10.0.22.191,10.0.22.129 – 10.0.22.190,/26,,,,,,,
A18,10.0.23.0,255.255.255.240,10.0.23.15,10.0.23.1 – 10.0.23.14,/28,,,,,,,
A19,10.0.23.16,255.255.255.240,10.0.23.31,10.0.23.17 – 10.0.23.30,/28,,,,,,,
A20,10.0.23.32,255.255.255.224,10.0.23.63,10.0.23.33 – 10.0.23.62,/27,,,,,,,
R4 - R5,10.0.7.0,255.255.255.252,10.0.7.3,10.0.7.1 – 10.0.7.2,/30,,,,,,,
R5 - R6,10.0.10.0,255.255.255.252,10.0.10.3,10.0.10.1 – 10.0.10.2,/30,,,,,,,
R6 - R7,10.0.24.0,255.255.255.252,10.0.24.3,10.0.24.1 – 10.0.24.2,/30,,,,,,,
R7 - R8,10.0.23.64,255.255.255.252,10.0.23.67,10.0.23.65 – 10.0.23.66,/30,,,,,,,
R2 - R6,10.0.38.0,255.255.255.252,10.0.38.3,10.0.38.1 – 10.0.38.2,/30,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Subnet,Network ID,Netmask,Broadcast,Range IP
,,,,,,,,R1 - R2,10.0.0.0,255.255.255.252,10.0.0.3,10.0.0.1 - 10.0.0.2
,,,,,,,,R2 - R3,10.0.0.4,255.255.255.252,10.0.0.7,10.0.0.5 - 10.0.0.6
,,,,,,,,R2 - R6,10.0.0.8,255.255.255.252,10.0.0.11,10.0.0.9 - 10.0.0.10
,,,,,,,,R4 - R5,10.0.0.12,255.255.255.252,10.0.0.15,10.0.0.13 - 10.0.0.14
,,,,,,,,R5 - R6,10.0.0.16,255.255.255.252,10.0.0.19,10.0.0.17 - 10.0.0.18
,,,,,,,,R6 - R7,10.0.0.20,255.255.255.252,10.0.0.23,10.0.0.21 - 10.0.0.22
,,,,,,,,R7 - R8,10.0.0.24,255.255.255.252,10.0.0.27,10.0.0.25 - 10.0.0.26
,,,,,,,,Unit IT Pendidikan,10.0.0.32,255.255.255.240,10.0.0.47,10.0.0.33 - 10.0.0.46
,,,,,,,,Ruang Server & Data Center (Server),10.0.0.48,255.255.255.240,10.0.0.63,10.0.0.49 - 10.0.0.62
,,,,,,,,Executive Office,10.0.0.64,255.255.255.240,10.0.0.79,10.0.0.65 - 10.0.0.78
,,,,,,,,Guest Lounge,10.0.0.80,255.255.255.240,10.0.0.95,10.0.0.81 - 10.0.0.94
,,,,,,,,Unit Pembinaan & Pengawasan Sekolah,10.0.0.96,255.255.255.224,10.0.0.127,10.0.0.97 - 10.0.0.126
,,,,,,,,Departemen Cybersecurity,10.0.0.128,255.255.255.224,10.0.0.159,10.0.0.129 - 10.0.0.158
,,,,,,,,Departemen Sales,10.0.0.160,255.255.255.224,10.0.0.191,10.0.0.161 - 10.0.0.190
,,,,,,,,Departemen Human Resouces,10.0.0.192,255.255.255.224,10.0.0.223,10.0.0.193 - 10.0.0.222
,,,,,,,,Departemen People Development,10.0.0.224,255.255.255.224,10.0.0.255,10.0.0.225 - 10.0.0.254
,,,,,,,,Departemen Legal,10.0.1.0,255.255.255.224,10.0.1.31,10.0.1.1 - 10.0.1.30
,,,,,,,,Auditorium,10.0.1.32,255.255.255.224,10.0.1.63,10.0.1.33 - 10.0.1.62
,,,,,,,,Unit Sarana Prasarana,10.0.1.64,255.255.255.192,10.0.1.127,10.0.1.65 - 10.0.1.126
,,,,,,,,Departemen IT Support,10.0.1.128,255.255.255.192,10.0.1.191,10.0.1.129 - 10.0.1.190
,,,,,,,,Departemen Marketing,10.0.1.192,255.255.255.192,10.0.1.255,10.0.1.193 - 10.0.1.254
,,,,,,,,Departemen Keuangan,10.0.2.0,255.255.255.192,10.0.2.63,10.0.2.1 - 10.0.2.62
,,,,,,,,Departemen Customer Service,10.0.2.64,255.255.255.192,10.0.2.127,10.0.2.65 - 10.0.2.126
,,,,,,,,Regional Office,10.0.2.128,255.255.255.192,10.0.2.191,10.0.2.129 - 10.0.2.190
,,,,,,,,Unit SDM Pendidikan,10.0.3.0,255.255.255.128,10.0.3.127,10.0.3.1 - 10.0.3.126
,,,,,,,,Departemen R&D,10.0.3.128,255.255.255.128,10.0.3.255,10.0.3.129 - 10.0.3.254
,,,,,,,,Unit Kurikulum & Penjaminan Mutu,10.0.4.0,255.255.254.0,10.0.5.255,10.0.4.1 - 10.0.5.254
,,,,,,,,Unit Layanan Operasional,10.0.6.0,255.255.254.0,10.0.7.255,10.0.6.1 - 10.0.7.254
